Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,1,0.6333148868553634,0,0,-0.722417987723475,2
0,3,1,-0.2590945683476011,0,0,-0.739548121887978,2
0,3,1,-0.08061267730700822,1,0,-0.15065620288858755,2
0,3,1,-0.9730221325099727,0,0,-0.722417987723475,2
0,2,1,0.365592050294474,0,0,-0.3318537164268616,2
0,3,1,-0.8837811869896762,0,0,-0.7325789867518906,2
1,3,0,-0.5268174049084905,0,0,-0.7343212705359125,1
1,2,0,-0.08061267730700822,0,0,0.19083141877969786,2
1,3,0,-0.8837811869896762,0,0,-0.7235748641560655,1
0,1,1,1.7042062330989207,0,0,1.682226337902414,2
0,1,1,0.27635110477417757,0,0,0.7161299796622902,0
1,3,0,-0.3483355138678976,0,0,-0.7325789867518906,1
0,3,1,-0.6160583504287869,0,0,-0.722417987723475,2
1,3,0,0.09786921373358468,0,0,-0.7203830002637375,2
0,1,1,0.05324874097343646,0,0,0.6592130530058639,0
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
1,1,0,2.418133797261292,2,0,0.5183807701758084,2
0,2,1,0.18711015925388114,0,0,-0.3666993921072989,2
1,3,0,-0.3483355138678976,0,0,-0.7325789867518906,1
0,3,1,-1.9546725332332335,1,1,-0.2101865552210468,0
0,1,1,1.8826881241395137,0,0,0.5392881755840708,2
0,3,1,-0.08061267730700822,0,0,-0.722417987723475,2
0,2,1,-0.08061267730700822,0,0,-0.5264110620210153,1
0,3,1,-0.08061267730700822,1,0,-0.26535422895831506,0
1,3,0,-0.08061267730700822,0,0,-0.7235748641560655,1
1,3,0,-0.8837811869896762,0,0,-0.7116715813436281,2
1,3,0,-0.08061267730700822,0,0,-0.7325789867518906,1
0,2,1,-2.3116363153144195,1,1,0.3302141215014471,2
1,3,0,-0.5268174049084905,1,0,-0.3039771758825117,2
0,3,1,-0.08061267730700822,0,0,-0.7308367029678686,2
1,1,0,-0.08061267730700822,1,2,2.35126331096681,2
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
0,1,1,-0.2590945683476011,0,0,0.5392881755840708,0
0,3,1,-0.2590945683476011,0,0,-0.7293871228595625,2
0,3,1,0.09786921373358468,0,0,-0.7203830002637375,2
1,3,0,-0.7052992959490834,0,0,-0.7253171479400875,2
0,3,1,0.4548329958147705,0,0,-0.7116715813436281,2
1,1,0,1.347242451017735,1,0,2.591120034945532,0
0,2,1,-0.08061267730700822,1,0,0.5392881755840708,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
0,3,1,-0.16985362282730465,0,0,-0.7308367029678686,2
1,3,0,-1.062263078030269,1,1,-0.679146627663508,0
0,3,1,0.008628268213288234,0,0,0.29711072960503154,2
0,3,1,-0.6160583504287869,0,0,-0.7276448390755406,1
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
0,3,1,-0.08061267730700822,0,0,-0.6655010610670488,2
0,2,1,-0.839160714229528,0,0,-0.3666993921072989,2
0,2,1,1.168760559977142,0,0,-0.22412482549322166,0
1,3,0,-0.08061267730700822,0,0,-0.7305439992921531,1
1,1,0,0.7225558323756598,0,0,0.9350792982327499,0
1,3,0,-0.839160714229528,0,0,-0.7651039404320107,1
0,3,1,-0.8837811869896762,1,0,-0.26535422895831506,0
0,3,1,-0.08061267730700822,0,0,-0.8240488854130384,0
1,3,0,-2.400877260834716,1,1,-0.10884139207206295,2
1,2,0,0.09786921373358468,1,0,0.5392881755840708,2
1,2,0,-1.419226860111455,0,0,-0.17504817586489377,2
0,3,1,-0.08061267730700822,1,0,-0.7325789867518906,1
1,1,0,0.6333148868553634,1,0,2.751988581291839,0
0,3,1,0.008628268213288234,0,0,-0.7674246624323279,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,-0.9730221325099727,0,1,-0.15065620288858755,2
0,3,1,-0.5268174049084905,0,0,-0.7293871228595625,2
1,3,0,-0.08061267730700822,2,0,0.3476369593416657,1
0,2,1,1.2580015054974385,0,0,-0.3666993921072989,2
0,3,1,-0.3483355138678976,0,0,-0.7116715813436281,2
0,3,1,0.365592050294474,0,0,-0.7116715813436281,2
0,1,1,2.2396519062206997,0,0,0.7135165539862574,0
1,3,0,-0.08061267730700822,0,4,0.5021217779033164,2
0,3,1,-0.08061267730700822,1,0,-0.8240488854130384,0
0,3,1,1.347242451017735,0,0,-0.722417987723475,2
0,3,1,-0.3483355138678976,0,0,-0.7253171479400875,2
0,3,1,-0.12523315006715643,0,0,-0.7691669462163497,0
0,2,1,-0.16985362282730465,0,0,-0.3666993921072989,2
1,3,0,-0.437576459388194,0,0,-0.7116715813436281,2
0,3,1,1.0795196144568455,1,6,1.99583741902635,2
1,3,0,-1.5977087511520478,5,2,1.99583741902635,2
0,2,1,0.008628268213288234,0,0,0.5392881755840708,2
0,1,1,1.2580015054974385,0,0,0.5776184188325519,2
0,3,1,0.27635110477417757,3,0,-0.018242635302925924,2
0,1,1,-0.08061267730700822,0,0,2.3416807501546897,2
0,3,1,-0.5268174049084905,0,0,-0.7116715813436281,2
0,1,1,-0.08061267730700822,0,0,0.5776184188325519,2
0,2,1,0.18711015925388114,1,1,0.5392881755840708,2
0,3,1,-0.08061267730700822,0,0,-0.722417987723475,0
1,3,0,0.7225558323756598,0,2,-0.42361631876372524,2
0,3,1,-1.3299859145911586,4,2,0.9147503310407827,2
0,3,1,-0.3483355138678976,0,0,-0.7465172570240655,2
1,3,0,-0.437576459388194,0,0,-0.7253171479400875,2
0,1,1,1.2580015054974385,0,0,0.5776184188325519,2
1,3,0,-0.16985362282730465,0,2,-0.31268859480262107,2
1,3,0,-0.08061267730700822,0,0,-0.7337428323196171,1
0,3,1,-1.8654315877129373,1,1,-0.2101865552210468,0
1,2,0,-0.16985362282730465,0,0,-0.3318537164268616,2
0,3,1,-0.08061267730700822,0,0,-0.7848475002725465,2
0,2,1,1.168760559977142,0,0,-0.3666993921072989,2
1,3,0,-0.16985362282730465,1,1,0.2622650539245942,2
0,1,1,1.7934471786192172,0,0,2.2464335802497826,0
0,3,1,-0.8837811869896762,2,2,1.1229532432313956,2
1,1,0,-0.08061267730700822,0,0,0.6592130530058639,0
1,3,0,-0.5268174049084905,0,0,-0.6480782232268301,2
0,3,1,-0.08061267730700822,0,0,-0.7465172570240655,2
0,3,1,-0.08061267730700822,0,0,-0.7691669462163497,0
0,3,1,-0.437576459388194,1,0,-0.3039771758825117,2
0,3,1,-0.08061267730700822,0,0,-0.7688742425406341,0
0,3,1,1.0795196144568455,1,5,0.9147503310407827,2
1,2,0,-1.1515040235505656,0,2,1.4452757432754406,2
1,2,0,-0.7052992959490834,0,0,1.2884702027134727,2
0,1,1,2.3288928517409957,1,0,2.591120034945532,0
1,2,0,0.7225558323756598,0,3,1.4452757432754406,2
0,2,1,0.18711015925388114,0,0,-0.3666993921072989,2
1,1,0,-0.8837811869896762,1,0,2.4279237974637726,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
0,2,1,1.0795196144568455,0,0,-0.15762533802467513,2
1,2,0,-0.6160583504287869,0,1,0.19083141877969786,2
0,3,1,-0.9730221325099727,2,0,-0.7116715813436281,2
0,2,1,1.0795196144568455,0,0,-0.3666993921072989,2
0,2,1,0.5440739413350669,1,0,0.5392881755840708,2
0,1,1,-0.08061267730700822,0,0,0.5392881755840708,2
0,3,1,-1.463847332871603,1,1,-0.262162365065987,2
0,2,1,2.9535794703830707,0,0,-0.4119987704918674,1
0,2,1,-1.7761906421926408,0,2,0.9922819594297557,2
0,3,1,0.4548329958147705,0,0,-0.7253171479400875,2
1,3,0,-0.8837811869896762,0,0,-0.7308367029678686,2
0,2,1,-0.437576459388194,0,0,-0.5409277705094854,2
1,3,0,-0.08061267730700822,0,0,-0.7073158718835735,2
1,3,0,-0.08061267730700822,0,0,-0.1924710137051124,1
0,3,1,-2.4606686943333145,0,2,-0.26913150020207444,2
1,2,0,-1.7761906421926408,1,1,0.5392881755840708,2
0,2,1,-0.2590945683476011,0,0,-0.5409277705094854,2
0,1,1,-0.08061267730700822,0,0,0.521286899527557,0
1,3,0,0.6333148868553634,0,0,-0.7325789867518906,1
0,2,1,-0.3483355138678976,0,0,-0.5409277705094854,2
1,1,0,0.4548329958147705,0,0,0.6592130530058639,0
0,3,1,-0.2590945683476011,0,0,-0.722417987723475,2
0,3,1,0.365592050294474,0,0,0.29711072960503154,2
0,3,1,-0.08061267730700822,0,0,-0.7813629327045027,2
1,2,0,2.864338524862774,1,0,0.5392881755840708,2
1,3,0,0.9010377234162528,4,2,-0.7308367029678686,2
0,1,1,1.2580015054974385,0,0,1.6891954730385017,2
1,3,0,-0.08061267730700822,0,0,-0.7235748641560655,1
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
1,2,0,0.18711015925388114,1,0,-0.3068833052342603,0
0,3,1,-0.6160583504287869,0,0,-0.7116715813436281,2
1,2,0,-0.5268174049084905,0,0,-0.5409277705094854,2
0,3,1,-0.6160583504287869,0,0,-0.7293871228595625,2
1,1,0,2.2396519062206997,0,0,0.6400479313816232,0
1,3,0,-0.08061267730700822,0,2,-0.2101865552210468,0
0,3,1,-0.437576459388194,0,0,-0.7293871228595625,2
1,3,0,-0.08061267730700822,0,0,-0.7325789867518906,1
0,3,1,1.1241400872169938,0,0,-0.22034755424946229,2
0,2,1,0.7225558323756598,0,0,-0.3666993921072989,2
0,2,1,-1.240744969070862,0,0,3.25725087865818,2
1,1,0,-0.6160583504287869,0,0,0.5776184188325519,2
0,3,1,-0.6160583504287869,1,0,-0.8199858796286995,2
0,3,1,-0.08061267730700822,0,0,-0.7235748641560655,1
0,3,1,-0.7052992959490834,0,0,-0.7253171479400875,2
0,3,1,-0.7052992959490834,0,0,-0.7691669462163497,0
1,2,0,-0.8837811869896762,1,1,-0.3666993921072989,2
1,1,0,2.418133797261292,0,0,0.6592130530058639,0
1,2,0,1.525724342058328,0,2,0.8180535810275692,2
0,3,1,-0.08061267730700822,0,0,-0.7229964259397703,2
0,3,1,-0.08061267730700822,1,2,0.3615752296138406,2
0,1,1,1.168760559977142,1,0,2.3416807501546897,2
1,2,0,-0.5268174049084905,0,0,0.19083141877969786,2
0,2,1,1.2580015054974385,1,1,0.9922819594297557,2
1,2,0,0.09786921373358468,1,0,0.5392881755840708,2
1,3,0,-0.08061267730700822,1,0,-0.26535422895831506,0
1,2,0,-2.4080165364763393,1,2,0.6612480404656014,2
0,3,1,-0.7052992959490834,0,0,-0.7203830002637375,2
0,3,1,-0.3483355138678976,0,0,-0.6228151083585131,2
0,3,1,0.41021252305462225,0,0,-0.61061912187036,2
0,3,1,-0.08061267730700822,0,0,-0.7465172570240655,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
0,3,1,0.008628268213288234,0,0,-0.7116715813436281,2
1,2,0,-0.7945402414693798,0,0,-0.3666993921072989,2
0,3,1,-0.6160583504287869,0,0,-0.7308367029678686,2
0,3,1,0.767176305135808,1,0,-0.06005744611945078,2
0,3,1,-0.6160583504287869,0,0,-0.7253171479400875,2
1,2,0,0.09786921373358468,0,2,0.3302141215014471,2
1,3,0,-2.400877260834716,1,1,-0.42361631876372524,2
0,2,1,0.18711015925388114,0,0,-0.3849933718395284,0
0,3,1,-0.08061267730700822,0,0,-0.722417987723475,2
0,1,1,-0.08061267730700822,0,0,-1.2726869597986687,2
0,3,1,-0.08061267730700822,0,0,-0.7465172570240655,2
1,3,0,-0.08061267730700822,0,0,-0.7116715813436281,2
0,3,1,-0.9730221325099727,0,0,-0.6689856286350925,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,-0.08061267730700822,1,0,-0.1924710137051124,1
0,3,1,-0.08061267730700822,0,0,-0.7691669462163497,0
1,2,0,-0.7052992959490834,1,0,0.5392881755840708,2
0,2,1,0.008628268213288234,0,0,-0.5409277705094854,2
0,2,1,1.0795196144568455,1,0,0.5392881755840708,2
0,2,1,0.18711015925388114,1,0,0.19083141877969786,2
0,2,1,-0.5268174049084905,0,0,-0.5409277705094854,2
1,3,0,-0.437576459388194,0,0,-0.6689856286350925,2
0,3,1,-2.4231874972147898,1,1,-0.31268859480262107,2
1,3,0,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,-1.6869496966723443,1,1,-0.2101865552210468,0
1,3,0,-2.3116363153144195,1,1,0.13594947958300901,2
0,3,1,0.7225558323756598,0,0,-0.7674246624323279,2
0,3,1,-0.08061267730700822,0,0,-0.7674246624323279,2
0,3,1,-0.08061267730700822,0,0,-0.7688742425406341,0
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
0,1,1,-0.08061267730700822,0,0,1.4870905540919654,2
1,3,0,0.18711015925388114,0,0,-0.7883320678405903,1
0,3,1,-0.08061267730700822,0,0,-0.7688742425406341,0
0,3,1,0.7225558323756598,0,0,-0.61061912187036,2
0,3,1,-0.16985362282730465,0,0,-0.722417987723475,2
1,2,0,-2.400877260834716,1,2,1.6250236767054085,0
0,3,1,-0.08061267730700822,2,0,0.238165784624004,0
0,1,1,0.18711015925388114,0,0,1.8982695271211254,2
0,3,1,0.09786921373358468,0,0,-0.7253171479400875,2
0,3,1,0.365592050294474,0,0,-0.7308367029678686,2
0,2,1,-0.08061267730700822,0,0,-0.22412482549322166,0
0,2,1,1.347242451017735,0,1,0.19083141877969786,2
0,3,1,-0.3483355138678976,0,0,-0.6689856286350925,2
1,3,0,-0.08061267730700822,0,0,-0.7325789867518906,1
1,1,0,3.22130230694396,1,1,0.5776184188325519,2
0,3,1,-2.4160482215731665,0,1,-0.6210728245744912,2
1,3,0,1.525724342058328,1,0,-0.2894604673940416,2
0,3,1,-0.8837811869896762,0,0,-0.6689856286350925,2
0,3,1,-0.5268174049084905,0,0,-0.7691669462163497,0
0,3,1,-0.08061267730700822,0,0,-0.7447749732400436,2
1,3,0,0.8117967778959563,0,0,-0.7325789867518906,1
1,3,0,-0.9730221325099727,0,0,-0.7337428323196171,1
0,2,1,-0.7945402414693798,0,0,-0.5409277705094854,2
0,3,1,-0.08061267730700822,0,0,-0.7253171479400875,2
0,2,1,-0.5268174049084905,2,0,0.9225906080688812,2
0,3,1,-0.16985362282730465,0,0,-0.7308367029678686,2
0,3,1,-0.2590945683476011,0,0,-0.7688742425406341,0
0,2,1,-0.16985362282730465,0,0,-0.3666993921072989,2
0,1,1,0.4548329958147705,0,0,0.5776184188325519,2
0,3,1,-0.437576459388194,0,0,-0.7813629327045027,2
1,2,0,-1.419226860111455,2,1,1.4452757432754406,2
0,2,1,0.09786921373358468,1,0,0.5392881755840708,2
0,2,1,-0.6160583504287869,0,0,-0.3666993921072989,2
1,2,0,1.7934471786192172,0,2,1.2884702027134727,2
0,1,1,0.9902786689365491,0,0,0.7971461756193068,0
0,3,1,-0.08061267730700822,0,0,-0.7691669462163497,0
1,3,0,-0.7945402414693798,1,1,-0.17562661408118904,0
0,3,1,-0.08061267730700822,0,0,-0.722417987723475,2
0,1,1,0.18711015925388114,0,0,0.5392881755840708,2
0,2,1,0.365592050294474,0,0,-0.3666993921072989,2
0,3,1,0.9902786689365491,0,2,-0.7688742425406341,0
0,2,1,-0.2590945683476011,0,0,0.9225906080688812,2
0,3,1,-0.08061267730700822,0,0,-0.7688742425406341,0
0,2,1,-0.8837811869896762,0,0,-0.5409277705094854,2
0,3,1,0.365592050294474,0,0,-0.744482269564328,2
0,3,1,-0.08061267730700822,1,1,-0.262162365065987,2
1,3,0,-1.062263078030269,0,0,-0.739548121887978,2
0,2,1,-0.16985362282730465,0,0,-0.3666993921072989,2
1,3,0,0.9010377234162528,0,0,-0.7688742425406341,0
0,2,1,-0.3483355138678976,0,0,-0.3318537164268616,2
1,2,0,0.27635110477417757,0,0,0.19083141877969786,2
1,1,0,1.525724342058328,0,1,3.142838587129032,0
0,2,1,-0.2590945683476011,0,0,-0.5409277705094854,2
0,2,1,1.8826881241395137,1,2,3.25725087865818,2
1,3,0,-2.474947245616562,1,2,0.1612125944513261,2
0,1,1,1.9719290696598102,0,0,0.5392881755840708,2
1,1,0,2.775097579342478,2,0,2.314968055178067,2
0,3,1,-0.08061267730700822,0,0,-0.7235748641560655,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,0.18711015925388114,1,0,-0.18898644613706864,2
1,2,0,-0.3483355138678976,1,1,1.306185744229407,0
1,2,0,0.27635110477417757,0,0,0.19083141877969786,2
0,3,1,-0.08061267730700822,0,0,-0.6689856286350925,2
1,1,0,-0.2590945683476011,1,0,2.591120034945532,0
0,3,1,-0.08061267730700822,1,0,-0.2650684944177355,0
1,3,0,-0.5268174049084905,0,0,1.493188547336042,2
1,1,0,1.525724342058328,0,1,2.8669793110372828,0
0,2,1,0.09786921373358468,0,0,-0.3068833052342603,0
0,2,1,-0.6160583504287869,1,0,-0.4712364191486108,2
0,1,1,1.8826881241395137,0,0,-1.2726869597986687,2
0,2,1,1.4364833965380315,0,0,-0.3666993921072989,2
1,3,0,-0.5268174049084905,2,0,-0.6689856286350925,2
0,2,1,-0.6160583504287869,0,0,-0.4712364191486108,2
0,1,1,2.418133797261292,0,0,2.2118806082450613,2
0,3,1,-2.04391347875353,4,2,0.9147503310407827,2
0,3,1,-0.08061267730700822,0,0,-0.7325789867518906,1
0,3,1,-0.16985362282730465,0,0,-0.7235748641560655,1
1,3,0,-0.08061267730700822,0,0,-0.262162365065987,2
1,3,0,-0.7945402414693798,1,0,-0.15065620288858755,2
0,2,1,-0.08061267730700822,0,0,-0.37541081102740825,2
1,2,0,-0.3483355138678976,1,2,3.25725087865818,2
0,3,1,-0.3483355138678976,0,0,-0.7308367029678686,2
0,2,1,2.596615688301885,0,0,-0.3666993921072989,2
0,3,1,-0.6160583504287869,0,0,-0.7325789867518906,1
0,3,1,-1.9546725332332335,3,1,0.1960582701317634,2
1,1,0,2.0611700151801067,0,1,1.4731522838197904,2
0,3,1,-1.3299859145911586,0,2,0.1385629052590419,2
0,2,1,1.7042062330989207,0,0,-0.5409277705094854,2
0,3,1,0.09786921373358468,3,1,0.2622650539245942,2
1,1,0,-0.8837811869896762,1,0,2.908794121853807,2
0,3,1,-0.3483355138678976,0,0,-0.7674246624323279,1
0,3,1,-0.5268174049084905,0,0,-0.7308367029678686,2
0,3,1,0.27635110477417757,0,0,-0.7337428323196171,1
0,2,1,0.9010377234162528,1,0,0.19083141877969786,2
1,1,0,-0.5268174049084905,0,1,2.8669793110372828,0
0,1,1,-0.9730221325099727,0,0,2.009775689298525,2
0,1,1,1.347242451017735,1,0,0.6592130530058639,0
0,2,1,-0.7052992959490834,0,0,-0.3065906015585445,0
0,2,1,-0.437576459388194,1,0,-0.5409277705094854,2
1,3,0,-0.08061267730700822,0,0,-0.734613974211628,1
1,3,0,-2.222395369794123,1,1,-0.31268859480262107,2
1,3,0,-0.08061267730700822,0,0,-0.7325789867518906,1
1,3,0,0.008628268213288234,0,0,-0.7308367029678686,2
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
0,3,1,0.9456581961764009,0,0,-0.7674246624323279,2
0,3,1,-0.08061267730700822,0,0,-0.7116715813436281,2
0,3,1,-0.08061267730700822,1,1,0.2854931813331738,0
